Date,Event,Sport,Venue,Notes,StartTime
2026-05-09,Afrikaans Oppi Platteland Pretoria,Music,Idlewild Country Estate,www.afrikaansoppiplatteland.info,09:00
2026-05-16,Ronda Rousey vs.Gina Carano,MMA,Intuit Dome in Inglewood CA,Netflix - Main Card from 03:00,03:00
2026-05-18,French Open,Tennis,Stade Roland Garros in Paris,Qualifying Rounds,11:00
2026-05-19,French Open,Tennis,Stade Roland Garros in Paris,Qualifying Rounds,11:00
2026-05-20,French Open,Tennis,Stade Roland Garros in Paris,Qualifying Rounds,11:00
2026-05-21,French Open,Tennis,Stade Roland Garros in Paris,Qualifying Rounds,11:00
2026-05-22,French Open,Tennis,Stade Roland Garros in Paris,Qualifying Rounds,11:00
2026-05-24,French Open,Tennis,Stade Roland Garros in Paris,First Round,11:00
2026-05-25,French Open,Tennis,Stade Roland Garros in Paris,First Round,11:00
2026-05-26,French Open,Tennis,Stade Roland Garros in Paris,First Round,11:00
2026-05-27,French Open,Tennis,Stade Roland Garros in Paris,Second Round,11:00
2026-05-28,French Open,Tennis,Stade Roland Garros in Paris,Second Round,11:00
2026-05-29,French Open,Tennis,Stade Roland Garros in Paris,Third Round,11:00
2026-05-30,French Open,Tennis,Stade Roland Garros in Paris,Third Round,11:00
2026-05-31,French Open,Tennis,Stade Roland Garros in Paris,Round of 16,11:00
2026-06-01,French Open,Tennis,Stade Roland Garros in Paris,Round of 16,11:00
2026-06-02,French Open,Tennis,Stade Roland Garros in Paris,Quarter-finals,11:00
2026-06-03,French Open,Tennis,Stade Roland Garros in Paris,Quarter-finals,11:00
2026-06-04,French Open,Tennis,Stade Roland Garros in Paris,Women's Semi-finals,11:00
2026-06-05,French Open,Tennis,Stade Roland Garros in Paris,Men's Semi-finals,11:00
2026-06-06,French Open,Tennis,Stade Roland Garros in Paris,Women's Final,15:00
2026-06-07,French Open,Tennis,Stade Roland Garros in Paris,Men's Final,15:00
2026-06-29,Wimbledon,Tennis,All England Lawn Tennis Club in London,29 June - 12 July,11:00
2026-10-09,Van Coke en Vriende 2026,Music,Sun Arena,,19:00

